anio,geo,total,total_hom,total_muj,armas,armas_hom,armas_muj,pob_total,pob_hom,pob_muj
2015,21017,2,2,,1,1,,28012,13343,14669
2015,21015,5,5,,4,4,,113405,55433,57972
2015,21014,1,1,,1,1,,5153,2456,2697
2015,21013,2,1,1,2,1,1,21071,10255,10816
2015,21012,1,,1,1,,1,6731,3176,3555
2015,21011,2,2,,1,1,,1879,863,1016
2015,21010,7,5,2,3,1,2,65791,31972,33819
2015,21008,2,2,,2,2,,11374,5585,5789
2015,21006,2,2,,2,2,,15857,7586,8271
2015,21004,8,8,,6,6,,57886,28361,29525
2015,21003,5,5,,3,3,,36655,16882,19773
2015,21002,1,1,,1,1,,9411,4725,4686
2015,21001,2,2,,2,2,,64875,31364,33511
2015,20570,3,2,,2,1,,20325,9511,10814
2015,20566,1,1,,1,1,,3158,1557,1601
2015,20565,4,3,1,2,2,,41773,19888,21885
2015,20563,2,2,,1,1,,1297,591,706
2015,20557,3,2,1,2,2,,15325,7412,7913
2015,20554,1,1,,1,1,,5519,2644,2875
2015,20553,2,2,,2,2,,10242,4864,5378
2015,20551,3,2,1,2,1,1,21941,10279,11662
2015,20543,5,5,,4,4,,5884,2884,3000
2015,20541,1,1,,,,,1719,827,892
2015,20539,2,2,,1,1,,5508,2686,2822
2015,20538,1,1,,,,,707,335,372
2015,20537,1,1,,1,1,,6755,3135,3620
2015,20534,3,3,,3,3,,4046,1840,2206
2015,20533,1,1,,1,1,,2221,1073,1148
2015,20532,1,,1,1,,1,3942,1842,2100
2015,20528,2,1,1,2,1,1,1105,468,637
2015,20526,6,4,2,4,3,1,17353,8449,8904
